name,year_start,height,weight,college,pos,age,per,team,conf
Eric Anderson,1993,205.74,99.79024,Indiana University,PF,22.0,11.3,NYK,East
Greg Anderson,1988,208.28,104.32616,University of Houston,PF,23.0,14.7,SAS,West
J.J. Anderson,1983,203.2,88.45044,Bradley University,SF,22.0,13.7,TOT,N/A
James Anderson,2011,198.12,96.615096,Oklahoma State University,SF,21.0,8.5,SAS,West
Jerome Anderson,1976,195.58,88.45044,West Virginia University,SG,22.0,13.0,BOS,East
Justin Anderson,2016,198.12,103.418976,University of Virginia,SF,22.0,12.3,DAL,West
Kenny Anderson,1992,182.88,76.203456,Georgia Institute of Technology,PG,21.0,12.8,NJN,East
Kim Anderson,1979,200.66,90.7184,University of Missouri,SF,23.0,3.0,POR,West
Kyle Anderson,2015,205.74,104.32616,"University of California, Los Angeles",SF,21.0,8.2,SAS,West
Michael Anderson,1989,180.34,83.460928,Drexel University,PG,22.0,10.5,SAS,West
Nick Anderson,1990,198.12,92.98636,University of Illinois at Urbana-Champaign,SG,22.0,14.9,ORL,East
Richard Anderson,1983,208.28,108.86207999999999,"University of California, Santa Barbara",C,22.0,10.4,SDC,West
Ron Anderson,1985,200.66,97.52228,"California State University, Fresno",SF,26.0,10.7,CLE,East
Ryan Anderson,2009,208.28,108.86207999999999,University of California,PF,20.0,13.6,NJN,East
Shandon Anderson,1997,198.12,94.347136,University of Georgia,SG,23.0,10.4,UTA,West
Willie Anderson,1989,200.66,86.18248,University of Georgia,SF,22.0,16.6,SAS,West
Wally Anderzunas,1970,200.66,99.79024,Creighton University,SF,24.0,8.8,CIN,East
Don Anielak,1955,200.66,86.18248,Missouri State University,F,24.0,1.8,NYK,East
Michael Ansley,1990,200.66,102.0582,University of Alabama,SF,22.0,17.3,ORL,East
Carmelo Anthony,2004,203.2,108.86207999999999,Syracuse University,SF,19.0,17.6,DEN,West
Greg Anthony,1992,182.88,79.83219199999999,"University of Nevada, Las Vegas",PG,24.0,10.6,NYK,East
Joel Anthony,2008,205.74,111.13004,"University of Nevada, Las Vegas",PF,25.0,8.8,MIA,West
Keith Appling,2016,185.42000000000002,83.91452,Michigan State University,PG,23.0,-4.8,ORL,East
Rafael Araujo,2005,210.82,127.00576,Brigham Young University,C,24.0,7.1,TOR,East
Stacey Arceneaux,1962,193.04,95.25431999999999,Iowa State University,F,25.0,10.4,STL,East
Robert Archibald,2003,210.82,113.398,University of Illinois at Urbana-Champaign,PF,22.0,2.4,MEM,West
Tiny Archibald,1971,185.42000000000002,68.0388,University of Texas at El Paso,PG,22.0,14.0,CIN,East
Gilbert Arenas,2002,190.5,86.636072,University of Arizona,PG,20.0,17.0,GSW,West
Trevor Ariza,2005,203.2,97.52228,"University of California, Los Angeles",SF,19.0,13.3,NYK,East
