name,year_start,height,weight,college,pos,age,per,team,conf
Dwight Davis,1973,203.2,99.79024,University of Houston,PF,23.0,10.9,CLE,East
Ed Davis,2011,208.28,108.86207999999999,University of North Carolina,PF,21.0,15.8,TOR,East
Emanual Davis,1997,193.04,88.45044,Delaware State University,PG,28.0,9.7,HOU,West
Glen Davis,2008,205.74,131.088088,Louisiana State University,C,22.0,11.3,BOS,East
Harry Davis,1979,200.66,99.79024,Florida State University,SF,23.0,10.6,CLE,East
Hubert Davis,1993,195.58,83.007336,University of North Carolina,SG,22.0,8.7,NYK,East
Jim Davis,1968,205.74,102.0582,University of Colorado,C,26.0,9.1,STL,East
Johnny Davis,1977,187.96,77.11064,University of Dayton,SG,21.0,12.8,POR,West
Josh Davis,2004,203.2,106.59412,University of Wyoming,PF,23.0,2.1,ATL,East
Mark Davis,1989,198.12,88.45044,Old Dominion University,SF,25.0,15.0,TOT,N/A
Mark Davis,1996,200.66,95.25431999999999,Texas Tech University,SF,22.0,10.9,MIN,West
Mel Davis,1974,198.12,99.79024,St. John's University,PF,23.0,10.5,NYK,East
Mike Davis,1970,190.5,83.91452,Virginia Union University,SG,23.0,12.0,BAL,East
Mike Davis,1983,208.28,104.32616,University of Maryland,PF,26.0,21.1,NYK,East
Monti Davis,1981,200.66,92.98636,Tennessee State University,PF,22.0,4.5,TOT,N/A
Paul Davis,2007,210.82,122.46984,Michigan State University,C,22.0,11.2,LAC,West
Ralph Davis,1961,193.04,81.64656,University of Cincinnati,SG,22.0,8.2,CIN,East
Red Davis,1956,200.66,99.79024,St. John's University,C,23.0,-3.3,ROC,East
Ricky Davis,1999,198.12,88.45044,University of Iowa,SG,19.0,12.9,CHH,East
Ron Davis,1977,198.12,89.811216,Washington State University,SF,22.0,2.1,ATL,East
Terry Davis,1990,205.74,102.0582,Virginia Union University,PF,22.0,9.0,MIA,West
Walt Davis,1954,203.2,92.98636,Texas A&M University,PF,23.0,11.2,PHW,East
Walter Davis,1978,198.12,87.543256,University of North Carolina,SF,23.0,22.1,PHO,West
Andre Dawkins,2015,195.58,97.52228,Duke University,SG,23.0,-5.0,MIA,West
Johnny Dawkins,1987,187.96,74.84268,Duke University,PG,23.0,14.6,SAS,West
Paul Dawkins,1980,195.58,86.18248,Northern Illinois University,SF,22.0,11.0,UTA,West
Branden Dawson,2016,198.12,102.0582,Michigan State University,PF,22.0,7.1,LAC,West
Eric Dawson,2012,205.74,113.398,Midwestern State University,C,27.0,14.6,SAS,West
Tony Dawson,1991,200.66,97.52228,Florida State University,SF,23.0,16.0,SAC,West
Todd Day,1993,198.12,85.275296,University of Arkansas,SG,23.0,14.5,MIL,East
Austin Daye,2010,210.82,99.79024,Gonzaga University,SF,21.0,12.8,DET,East
Darren Daye,1984,203.2,99.79024,"University of California, Los Angeles",SF,23.0,12.3,WSB,East
Greg Deane,1980,193.04,86.18248,University of Utah,SG,22.0,4.5,UTA,West
Dave DeBusschere,1963,198.12,99.79024,University of Detroit Mercy,SF,22.0,14.5,DET,East
Andrew DeClercq,1996,208.28,104.32616,University of Florida,C,22.0,12.1,GSW,West
Dewayne Dedmon,2014,213.36,111.13004,University of Southern California,C,24.0,10.7,TOT,N/A
Archie Dees,1959,203.2,92.98636,Indiana University,PF,22.0,13.6,CIN,East
Terry Dehere,1994,187.96,86.18248,Seton Hall University,PG,22.0,9.5,LAC,West
Bryce Dejean-Jones,2016,198.12,94.80072799999999,Iowa State University,SG,23.0,9.6,NOP,West
Sam Dekker,2016,205.74,104.32616,University of Wisconsin,SF,21.0,10.8,HOU,West
Malcolm Delaney,2017,190.5,86.18248,Virginia Polytechnic Institute and State University,PG,27.0,7.5,ATL,East
Bison Dele,1992,205.74,106.59412,University of Arizona,PF,22.0,17.1,ORL,East
Tony Delk,1997,185.42000000000002,85.728888,University of Kentucky,PG,23.0,14.2,CHH,East
Matthew Dellavedova,2014,193.04,89.811216,Saint Mary's College of California,SG,23.0,10.7,CLE,East
Nate DeLong,1952,198.12,99.79024,University of Wisconsin-River Falls,C,26.0,21.1,MLH,West
Fennis Dembo,1989,195.58,97.52228,University of Wyoming,SF,23.0,7.8,DET,East
Larry Demic,1980,205.74,102.0582,University of Arizona,PF,22.0,7.4,NYK,East
Dell Demps,1994,190.5,92.98636,University of the Pacific,PG,23.0,4.5,GSW,West
George Dempsey,1955,187.96,86.18248,King's College,SG,25.0,10.8,PHW,East
Luol Deng,2005,205.74,99.79024,Duke University,SF,19.0,14.2,CHI,East
Kenny Dennard,1982,203.2,99.79024,Duke University,PF,23.0,11.1,KCK,East
Blaine Denning,1953,187.96,79.3786,Lawrence Technological University,G,22.0,18.9,BLB,East
Justin Dentmon,2012,180.34,83.91452,University of Washington,PG,26.0,4.8,TOT,N/A
Rod Derline,1975,182.88,79.3786,Seattle University,SG,22.0,12.2,SEA,West
DeMar DeRozan,2010,200.66,100.243832,University of Southern California,SG,20.0,12.5,TOR,East
Dave Deutsch,1967,185.42000000000002,77.11064,University of Rochester,G,21.0,2.4,NYK,East
Corky Devlin,1956,195.58,88.45044,George Washington University,SG,24.0,11.3,FTW,West
Derrick Dial,2000,193.04,83.460928,Eastern Michigan University,SG,24.0,12.0,SAS,West
Cheick Diallo,2017,205.74,99.79024,University of Kansas,PF,20.0,16.8,NOP,West
Yakhouba Diawara,2007,200.66,102.0582,Pepperdine University,SG,24.0,5.3,DEN,West
Guillermo Diaz,2008,187.96,87.089664,University of Miami,SG,22.0,9.9,LAC,West
Dan Dickau,2003,182.88,86.18248,Gonzaga University,PG,24.0,9.9,ATL,East
Kaniel Dickens,2004,203.2,97.52228,University of Idaho,PF,25.0,23.1,POR,West
Henry Dickerson,1976,193.04,86.18248,University of Charleston,SG,24.0,4.6,DET,East
Michael Dickerson,1999,195.58,86.18248,University of Arizona,SG,23.0,11.5,HOU,West
Derrek Dickey,1974,200.66,98.883056,University of Cincinnati,PF,22.0,13.4,GSW,West
Dick Dickey,1952,185.42000000000002,79.3786,North Carolina State University,PG,25.0,9.6,BOS,East
Travis Diener,2006,185.42000000000002,79.3786,Marquette University,PG,23.0,12.6,ORL,East
Gorgui Dieng,2014,210.82,109.31567199999999,University of Louisville,C,24.0,16.5,MIN,West
Connie Dierking,1959,205.74,100.697424,University of Cincinnati,C,22.0,10.7,SYR,East
Ernie DiGregorio,1974,182.88,81.64656,Providence College,PG,23.0,13.6,BUF,East
Mickey Dillard,1982,190.5,77.11064,Florida State University,PG,23.0,7.0,CLE,East
Byron Dinkins,1990,185.42000000000002,77.11064,University of North Carolina at Charlotte,PG,22.0,10.9,HOU,West
Jackie Dinkins,1972,195.58,95.25431999999999,Voorhees College,SF,22.0,13.7,CHI,East
Bill Dinwiddie,1968,200.66,99.79024,New Mexico Highlands University,SF,24.0,9.4,CIN,East
Spencer Dinwiddie,2015,198.12,90.7184,University of Colorado,PG,21.0,10.2,DET,East
Ike Diogu,2006,203.2,113.398,Arizona State University,PF,22.0,15.8,GSW,West
Terry Dischinger,1963,200.66,85.728888,Purdue University,SF,22.0,20.8,CHZ,West
Fred Diute,1955,190.5,95.25431999999999,St. Bonaventure University,SG,26.0,-2.3,MLH,West
Juan Dixon,2003,190.5,74.389088,University of Maryland,PG,24.0,11.0,WAS,East
Michael Doleac,1999,210.82,118.841104,University of Utah,C,21.0,13.7,ORL,East
James Donaldson,1981,218.44,124.7378,Washington State University,C,23.0,15.9,SEA,West
Billy Donovan,1988,180.34,77.564232,Providence College,PG,22.0,8.7,NYK,East
Keyon Dooling,2001,190.5,88.904032,University of Missouri,PG,20.0,12.6,LAC,West
Jacky Dorsey,1978,200.66,104.32616,University of Georgia,SF,23.0,12.2,TOT,N/A
Joey Dorsey,2009,203.2,121.562656,University of Memphis,PF,25.0,16.1,HOU,West
Quincy Douby,2007,190.5,79.3786,Rutgers University,PG,22.0,9.0,SAC,West
Bruce Douglas,1987,190.5,88.45044,University of Illinois at Urbana-Champaign,SG,22.0,5.7,SAC,West
John Douglas,1982,187.96,77.11064,University of Kansas,SG,25.0,12.1,SDC,West
Leon Douglas,1977,208.28,104.32616,University of Alabama,C,22.0,13.3,DET,East
Sherman Douglas,1990,182.88,81.64656,Syracuse University,PG,23.0,17.0,MIA,West
Toney Douglas,2010,187.96,88.45044,Florida State University,PG,23.0,14.9,NYK,East
Chris Douglas-Roberts,2009,200.66,90.7184,University of Memphis,SG,22.0,12.2,NJN,East
Sonny Dove,1968,200.66,89.811216,St. John's University,PF,22.0,6.4,DET,East
Zabian Dowdell,2011,190.5,86.636072,Virginia Polytechnic Institute and State University,PG,26.0,11.7,PHO,West
Steve Downing,1974,203.2,102.0582,Indiana University,C,23.0,10.2,BOS,East
Danny Doyle,1963,203.2,90.7184,Belmont Abbey College,PF,22.0,22.2,DET,East
Terry Dozier,1990,205.74,95.25431999999999,University of South Carolina,SF,23.0,5.1,CHH,East
Greg Dreiling,1987,215.9,113.398,University of Kansas,C,24.0,8.6,IND,East
Bryce Drew,1999,187.96,83.91452,Valparaiso University,PG,24.0,6.6,HOU,West
John Drew,1975,198.12,92.98636,Gardner-Webb University,PF,20.0,21.4,ATL,East
Larry Drew,1981,185.42000000000002,77.11064,University of Missouri,PG,22.0,9.3,DET,East
Larry Drew,2015,187.96,81.64656,"University of California, Los Angeles",PG,24.0,4.5,PHI,East
Clyde Drexler,1984,200.66,95.25431999999999,University of Houston,SG,21.0,14.5,POR,West
Nate Driggers,1997,195.58,97.52228,University of Montevallo,SG,23.0,6.8,BOS,East
Terry Driscoll,1971,200.66,97.52228,Boston College,PF,23.0,10.4,DET,East
Ralph Drollinger,1981,218.44,113.398,"University of California, Los Angeles",C,26.0,5.3,DAL,West
Andre Drummond,2013,210.82,126.552168,University of Connecticut,C,19.0,21.6,DET,East
Dick Duckett,1958,185.42000000000002,83.91452,St. John's University,PG,24.0,8.0,CIN,East
Kevin Duckworth,1987,213.36,124.7378,Eastern Illinois University,C,22.0,9.1,TOT,N/A
Charles Dudley,1973,187.96,81.64656,University of Washington,PG,22.0,12.3,SEA,West
Chris Dudley,1988,210.82,106.59412,Yale University,C,22.0,12.1,CLE,East
Jared Dudley,2008,200.66,102.0582,Boston College,PF,22.0,13.6,CHA,East
Terry Duerod,1980,187.96,81.64656,University of Detroit Mercy,SG,23.0,11.7,DET,East
Bob Duffy,1963,190.5,83.91452,Colgate University,PG,22.0,10.6,STL,East
Chris Duhon,2005,185.42000000000002,83.91452,Duke University,PG,22.0,9.8,CHI,East
Duje Dukan,2016,205.74,99.79024,University of Wisconsin,SF,24.0,4.2,SAC,West
Walter Dukes,1956,213.36,99.79024,Seton Hall University,C,25.0,13.8,NYK,East
Joe Dumars,1986,190.5,86.18248,McNeese State University,SG,22.0,12.9,DET,East
Richard Dumas,1993,200.66,90.7184,Oklahoma State University,SF,23.0,18.6,PHO,West
Tony Dumas,1995,198.12,86.18248,University of Missouri-Kansas City,SG,22.0,8.8,DAL,West
Tim Duncan,1998,210.82,113.398,Wake Forest University,PF,21.0,22.6,SAS,West
Mike Dunleavy,1977,190.5,81.64656,University of South Carolina,PG,22.0,11.9,PHI,East
Mike Dunleavy,2003,205.74,104.32616,Duke University,SF,22.0,12.5,GSW,West
Kris Dunn,2017,193.04,95.25431999999999,Providence College,PG,22.0,8.1,MIN,West
Pat Dunn,1958,187.96,77.11064,Utah State University,SG,26.0,9.4,PHW,East
T.R. Dunn,1978,193.04,87.089664,University of Alabama,SG,22.0,11.7,POR,West
Ronald Dupree,2004,200.66,94.80072799999999,Louisiana State University,SF,23.0,9.7,CHI,East
Kevin Durant,2008,205.74,108.86207999999999,University of Texas at Austin,SG,19.0,15.8,SEA,West
John Duren,1981,190.5,88.45044,Georgetown University,PG,22.0,2.6,UTA,West
Pat Durham,1993,200.66,95.25431999999999,Colorado State University,SF,25.0,2.9,GSW,West
Devin Durrant,1985,200.66,90.7184,Brigham Young University,SF,24.0,8.8,IND,East
Ken Durrett,1972,200.66,86.18248,La Salle University,SF,23.0,8.1,CIN,East
Dennis DuVal,1975,190.5,79.3786,Syracuse University,PG,22.0,13.1,WSB,East
Craig Dykema,1982,203.2,86.18248,"California State University, Long Beach",SF,22.0,11.1,PHO,West
Gene Dyker,1954,198.12,102.0582,DePaul University,F,23.0,0.4,MLH,West
Jerome Dyson,2012,190.5,81.64656,University of Connecticut,PG,24.0,11.3,NOH,West
Ledell Eackles,1989,195.58,99.79024,University of New Orleans,SG,22.0,15.2,WSB,East
Acie Earl,1994,208.28,108.86207999999999,University of Iowa,C,23.0,9.2,BOS,East
Ed Earle,1954,190.5,86.18248,Loyola University of Chicago,PF,26.0,15.0,SYR,East
Cleanthony Early,2015,203.2,95.25431999999999,Wichita State University,SF,23.0,8.4,NYK,East
Mark Eaton,1983,223.52,124.7378,"University of California, Los Angeles",C,26.0,11.0,UTA,West
Jerry Eaves,1983,193.04,81.64656,University of Louisville,PG,23.0,13.0,UTA,West
Devin Ebanks,2011,205.74,97.52228,West Virginia University,SG,21.0,19.4,LAL,West
Bill Ebben,1958,193.04,86.18248,University of Detroit Mercy,G,22.0,1.1,DET,East
Al Eberhard,1975,198.12,102.0582,University of Missouri,SF,22.0,9.4,DET,East
Jarell Eddie,2016,200.66,98.883056,Virginia Polytechnic Institute and State University,SF,24.0,11.0,WAS,East
Patrick Eddie,1992,210.82,108.86207999999999,University of Mississippi,C,24.0,-8.8,NYK,East
Kenton Edelin,1985,203.2,92.98636,University of Virginia,SF,22.0,3.3,IND,East
Keith Edmonson,1983,195.58,88.45044,Purdue University,SG,22.0,6.8,ATL,East
Tyus Edney,1996,177.8,68.945984,"University of California, Los Angeles",PG,22.0,12.7,SAC,West
Bill Edwards,1994,203.2,97.52228,Wright State University,PF,22.0,-0.4,PHI,East
Blue Edwards,1990,193.04,90.7184,East Carolina University,SF,24.0,10.7,UTA,West
Corsley Edwards,2005,205.74,124.7378,Central Connecticut State University,C,25.0,8.6,NOH,West
Doug Edwards,1994,200.66,99.79024,Florida State University,PF,23.0,9.4,ATL,East
Franklin Edwards,1982,185.42000000000002,77.11064,Cleveland State University,PG,22.0,13.7,PHI,East
James Edwards,1978,213.36,102.0582,University of Washington,C,22.0,14.7,TOT,N/A
Jay Edwards,1990,193.04,83.91452,Indiana University,SG,21.0,7.8,LAC,West
John Edwards,2005,213.36,124.7378,Kent State University,C,23.0,5.1,IND,East
Kevin Edwards,1989,190.5,86.18248,DePaul University,SG,23.0,12.6,MIA,West
Shane Edwards,2014,200.66,99.79024,University of Arkansas at Little Rock,SF,26.0,-1.0,CLE,East
Johnny Egan,1962,180.34,81.64656,Providence College,PG,23.0,13.8,DET,East
Craig Ehlo,1984,198.12,81.64656,Washington State University,SG,22.0,8.2,HOU,West
Rich Eichhorst,1962,190.5,90.7184,Southeast Missouri State University,G,28.0,12.2,STL,East
Howard Eisley,1995,187.96,80.28578399999999,Boston College,PG,22.0,6.1,TOT,N/A
Obinna Ekezie,2000,205.74,122.46984,University of Maryland,PF,24.0,11.8,VAN,West
Khalid El-Amin,2001,177.8,90.7184,University of Connecticut,PG,21.0,12.2,CHI,East
Mario Elie,1991,195.58,95.25431999999999,American International College,SF-SG,27.0,12.9,TOT,N/A
Henry Ellenson,2017,210.82,111.13004,Marquette University,PF,20.0,7.5,DET,East
Wayne Ellington,2010,193.04,90.7184,University of North Carolina,SG,22.0,9.6,MIN,West
Bob Elliott,1979,205.74,102.0582,University of Arizona,PF,23.0,13.6,NJN,East
Sean Elliott,1990,203.2,92.98636,University of Arizona,SF,21.0,12.5,SAS,West
Bo Ellis,1978,205.74,89.357624,Marquette University,PF,23.0,9.1,DEN,West
Boo Ellis,1959,195.58,83.91452,Niagara University,PF,22.0,14.1,MNL,West
Dale Ellis,1984,200.66,92.98636,University of Tennessee,SF,23.0,15.1,DAL,West
Harold Ellis,1994,195.58,90.7184,Morehouse College,SF,23.0,17.2,LAC,West
Joe Ellis,1967,198.12,79.3786,University of San Francisco,SF,22.0,13.1,SFW,West
LaPhonso Ellis,1993,203.2,108.86207999999999,University of Notre Dame,PF,22.0,16.6,DEN,West
LeRon Ellis,1992,205.74,102.0582,Syracuse University,C,22.0,8.6,LAC,West
Leroy Ellis,1963,208.28,95.25431999999999,St. John's University,C,22.0,11.4,LAL,West
Pervis Ellison,1990,205.74,95.25431999999999,University of Louisville,C,22.0,10.3,SAC,West
Francisco Elson,2004,213.36,106.59412,University of California,C,27.0,11.2,DEN,West
Melvin Ely,2003,208.28,117.93392,"California State University, Fresno",C,24.0,10.8,LAC,West
Joel Embiid,2017,213.36,113.398,University of Kansas,C,22.0,24.1,PHI,East
Wayne Embry,1959,203.2,108.86207999999999,Miami University,C,21.0,16.3,CIN,East
Andre Emmett,2005,195.58,104.32616,Texas Tech University,SG,22.0,0.9,MEM,West
Chris Engler,1983,210.82,111.13004,University of Wyoming,C,23.0,5.8,GSW,West
Wayne Englestad,1989,203.2,111.13004,"University of California, Irvine",PF,22.0,12.4,DEN,West
A.J. English,1991,190.5,79.3786,Virginia Union University,SG,23.0,10.6,WSB,East
Alex English,1977,200.66,86.18248,University of South Carolina,SF,23.0,14.8,MIL,East
Claude English,1971,193.04,83.91452,University of Rhode Island,F,24.0,3.8,POR,West
Kim English,2013,198.12,90.7184,University of Missouri,SG,24.0,7.9,DET,East
Scott English,1973,198.12,92.98636,University of Texas at El Paso,SF,22.0,11.2,PHO,West
James Ennis,2015,200.66,95.25431999999999,"California State University, Long Beach",SF,24.0,11.5,MIA,West
Tyler Ennis,2015,190.5,87.996848,Syracuse University,PG,20.0,7.3,TOT,N/A
Ray Epps,1979,198.12,88.45044,Norfolk State University,SF,22.0,7.9,GSW,West
Bo Erias,1958,190.5,99.79024,Niagara University,SF,25.0,8.9,MNL,West
Keith Erickson,1966,195.58,88.45044,"University of California, Los Angeles",SF,21.0,8.3,SFW,West
Evan Eschmeyer,2000,210.82,115.66596,Northwestern University,C,24.0,11.8,NJN,East
Brian Evans,1997,203.2,99.79024,Indiana University,SF,23.0,11.7,ORL,East
Earl Evans,1980,203.2,91.625584,"University of Nevada, Las Vegas",PF,24.0,10.3,DET,East
Jeremy Evans,2011,205.74,90.7184,Western Kentucky University,SF,23.0,18.8,UTA,West
Maurice Evans,2002,195.58,99.79024,University of Texas at Austin,SG,23.0,11.5,MIN,West
Mike Evans,1980,185.42000000000002,77.11064,Kansas State University,SG,24.0,9.8,SAS,West
Reggie Evans,2003,203.2,111.13004,University of Iowa,PF,22.0,10.4,SEA,West
Tyreke Evans,2010,198.12,99.79024,University of Memphis,SG,20.0,18.2,SAC,West
Daniel Ewing,2006,190.5,83.91452,Duke University,SG,22.0,7.6,LAC,West
Patrick Ewing,1986,213.36,108.86207999999999,Georgetown University,C,23.0,17.4,NYK,East
Patrick Ewing,2011,203.2,106.59412,Georgetown University,SF,26.0,0.6,NOH,West
Festus Ezeli,2013,210.82,115.66596,Vanderbilt University,C,23.0,9.3,GSW,West
John Fairchild,1966,203.2,92.98636,Brigham Young University,SF,22.0,3.9,LAL,West
Kenneth Faried,2012,203.2,103.418976,Morehead State University,PF,22.0,21.9,DEN,West
Dick Farley,1955,193.04,86.18248,Indiana University,SG,22.0,12.7,SYR,East
Jordan Farmar,2007,187.96,81.64656,"University of California, Los Angeles",PG,20.0,10.8,LAL,West
Desmon Farmer,2007,195.58,99.79024,University of Southern California,SG,25.0,15.4,SEA,West
Jim Farmer,1988,193.04,86.18248,University of Alabama,SG,23.0,4.4,DAL,West
Mike Farmer,1959,200.66,95.25431999999999,University of San Francisco,SF,22.0,7.9,NYK,East
Tony Farmer,1998,205.74,110.676448,University of Nebraska,C,28.0,13.9,CHH,East
Derrick Favors,2011,208.28,120.20188,Georgia Institute of Technology,PF,19.0,13.8,TOT,N/A
Nick Fazekas,2008,210.82,106.59412,"University of Nevada, Reno",PF,22.0,19.6,TOT,N/A
Dave Fedor,1963,198.12,86.18248,Florida State University,F,22.0,2.2,SFW,West
Butch Feher,1977,193.04,83.91452,Vanderbilt University,SG,22.0,15.9,PHO,West
Jamie Feick,1997,205.74,115.66596,Michigan State University,PF-C,22.0,11.1,TOT,N/A
Ron Feiereisel,1956,190.5,83.91452,DePaul University,G,24.0,12.2,MNL,West
Dave Feitl,1987,210.82,106.59412,University of Texas at El Paso,C,24.0,10.3,HOU,West
Kay Felder,2017,175.26,79.83219199999999,Oakland University,PG,21.0,11.2,CLE,East
Carrick Felix,2014,198.12,91.171992,Arizona State University,SG,23.0,13.3,CLE,East
Noel Felix,2006,205.74,102.0582,"California State University, Fresno",SF,24.0,-1.1,SEA,West
Ray Felix,1954,210.82,99.79024,Long Island University,C,23.0,22.9,BLB,East
Raymond Felton,2006,185.42000000000002,92.98636,University of North Carolina,PG,21.0,14.2,CHA,East
Jake Fendley,1952,182.88,81.64656,Northwestern University,SG,22.0,9.8,FTW,West
Desmond Ferguson,2004,200.66,92.079176,University of Detroit Mercy,SF,26.0,11.3,POR,West
Eric Fernsten,1976,208.28,92.98636,University of San Francisco,C,22.0,14.3,TOT,N/A
Al Ferrari,1956,193.04,86.18248,Michigan State University,SF,22.0,9.9,STL,East
Rolando Ferreira,1989,215.9,108.86207999999999,University of Houston,C,24.0,-7.6,POR,West
Duane Ferrell,1989,200.66,94.80072799999999,Georgia Institute of Technology,SF,23.0,12.0,ATL,East
Yogi Ferrell,2017,182.88,81.64656,Indiana University,PG,23.0,13.1,TOT,N/A
Bob Ferry,1960,203.2,104.32616,Saint Louis University,C,22.0,11.5,STL,East
Danny Ferry,1991,208.28,104.32616,Duke University,PF,24.0,10.9,CLE,East
Kenny Fields,1985,195.58,99.79024,"University of California, Los Angeles",SF,22.0,8.9,MIL,East
Landry Fields,2011,200.66,95.25431999999999,Stanford University,SG,22.0,13.5,NYK,East
Ron Filipek,1968,195.58,92.98636,Tennessee Technological University,F,23.0,13.5,PHI,East
Greg Fillmore,1971,215.9,108.86207999999999,Cheyney University of Pennsylvania,C,23.0,10.3,NYK,East
Hank Finkel,1967,213.36,108.86207999999999,University of Dayton,C,24.0,7.7,LAL,West
Michael Finley,1996,200.66,97.52228,University of Wisconsin,SF,22.0,14.0,PHO,West
Danny Finn,1953,185.42000000000002,83.91452,St. John's University,SG,24.0,13.7,PHW,East
Dorian Finney-Smith,2017,203.2,99.79024,University of Florida,PF,23.0,7.7,DAL,West
Matt Fish,1995,210.82,106.59412,University of North Carolina at Wilmington,C,25.0,10.6,LAC,West
Derek Fisher,1997,185.42000000000002,90.7184,University of Arkansas at Little Rock,PG,22.0,11.0,LAL,West
Gerald Fitch,2006,190.5,85.275296,University of Kentucky,PG,23.0,10.2,MIA,West
Marcus Fizer,2001,205.74,118.841104,Iowa State University,PF,22.0,11.0,CHI,East
Al Fleming,1978,200.66,97.52228,University of Arizona,SF,23.0,10.7,SEA,West
Ed Fleming,1956,190.5,85.728888,Niagara University,SG,22.0,16.4,ROC,East
Vern Fleming,1985,195.58,83.91452,University of Georgia,PG,22.0,12.8,IND,East
Luis Flores,2005,187.96,90.7184,Manhattan College,PG,23.0,10.1,TOT,N/A
Bruce Flowers,1983,203.2,102.0582,University of Notre Dame,PF,25.0,15.2,CLE,East
Sleepy Floyd,1983,190.5,77.11064,Georgetown University,PG,22.0,13.8,TOT,N/A
Jonny Flynn,2010,182.88,83.91452,Syracuse University,PG,20.0,13.0,MIN,West
Larry Fogle,1976,195.58,92.98636,Canisius College,SG,22.0,-0.5,NYK,East
Jack Foley,1963,190.5,77.11064,College of the Holy Cross,F,23.0,15.6,TOT,N/A
Isaac Fontaine,2002,193.04,95.25431999999999,Washington State University,SG,26.0,-0.9,MEM,West
Levi Fontaine,1971,193.04,86.18248,University of Maryland Eastern Shore,SG,22.0,12.1,SFW,West
Jeff Foote,2012,213.36,120.20188,Cornell University,C,24.0,-0.9,NOH,West
Bryn Forbes,2017,190.5,86.18248,Michigan State University,SG,23.0,5.9,SAS,West
Gary Forbes,2011,200.66,99.79024,University of Massachusetts Amherst,SF,25.0,11.7,DEN,West
Alphonso Ford,1994,185.42000000000002,86.18248,Mississippi Valley State University,PG,22.0,28.9,SEA,West
Alton Ford,2002,205.74,124.7378,University of Houston,PF,20.0,10.0,PHO,West
Chris Ford,1973,195.58,86.18248,Villanova University,SG,24.0,12.1,DET,East
Don Ford,1976,205.74,97.52228,"University of California, Santa Barbara",SF,23.0,11.6,LAL,West
Jake Ford,1971,190.5,81.64656,University of Maryland Eastern Shore,G,24.0,13.2,SEA,West
Phil Ford,1979,187.96,79.3786,University of North Carolina,PG,22.0,15.8,KCK,East
Sharrod Ford,2006,205.74,102.0582,Clemson University,PF,24.0,0.6,PHO,West
Sherell Ford,1996,200.66,95.25431999999999,University of Illinois at Chicago,SF,23.0,16.4,SEA,West
T.J. Ford,2004,182.88,74.84268,University of Texas at Austin,PG,20.0,12.1,MIL,East
Bayard Forrest,1978,208.28,106.59412,Grand Canyon University,C,23.0,12.2,PHO,West
Joseph Forte,2002,193.04,87.996848,University of North Carolina,SG,20.0,2.8,BOS,East
Courtney Fortson,2012,180.34,83.91452,University of Arkansas,PG,23.0,9.9,TOT,N/A
Danny Fortson,1998,200.66,117.93392,University of Cincinnati,PF,21.0,14.3,DEN,West
Fred Foster,1969,195.58,95.25431999999999,Miami University,SF,22.0,8.7,CIN,East
Greg Foster,1991,210.82,108.86207999999999,University of Texas at El Paso,PF,22.0,10.9,WSB,East
Jeff Foster,2000,210.82,107.047712,Texas State University,C,23.0,25.6,IND,East
Rod Foster,1984,185.42000000000002,72.57472,"University of California, Los Angeles",PG,23.0,11.9,PHO,West
Jerry Fowler,1952,203.2,104.32616,University of Missouri,C,24.0,3.8,MLH,West
Tremaine Fowlkes,2002,203.2,99.79024,"California State University, Fresno",SF,25.0,9.5,LAC,West
Harold Fox,1973,187.96,79.3786,Jacksonville University,PG,23.0,10.0,BUF,East
Jim Fox,1968,208.28,104.32616,University of South Carolina,C,24.0,11.4,TOT,N/A
Rick Fox,1992,200.66,104.32616,University of North Carolina,SF,22.0,12.2,BOS,East
Randy Foye,2007,193.04,96.615096,Villanova University,PG,23.0,14.0,MIN,West
Adonal Foyle,1998,208.28,113.398,Colgate University,C,22.0,9.2,GSW,West
Richie Frahm,2004,195.58,95.25431999999999,Gonzaga University,SF,26.0,15.7,SEA,West
Steve Francis,2000,190.5,88.45044,University of Maryland,PG,22.0,18.4,HOU,West
Tellis Frank,1988,208.28,102.0582,Western Kentucky University,PF,22.0,10.2,GSW,West
Jamaal Franklin,2014,195.58,86.636072,San Diego State University,SG,22.0,4.7,MEM,West
Tim Frazier,2015,185.42000000000002,77.11064,Pennsylvania State University,PG,24.0,8.1,TOT,N/A
Walt Frazier,1968,193.04,90.7184,Southern Illinois University,PG,22.0,15.4,NYK,East
Will Frazier,1966,200.66,95.25431999999999,Grambling State University,PF,23.0,0.5,SFW,West
Anthony Frederick,1989,200.66,92.98636,Pepperdine University,SF,24.0,11.9,IND,East
Jimmer Fredette,2012,187.96,88.45044,Brigham Young University,PG,22.0,10.8,SAC,West
Gary Freeman,1971,205.74,95.25431999999999,Oregon State University,SF,22.0,15.0,TOT,N/A
Rod Freeman,1974,200.66,102.0582,Vanderbilt University,SF,23.0,10.9,PHI,East
Matt Freije,2005,208.28,108.86207999999999,Vanderbilt University,PF,23.0,4.1,NOH,West
Larry Friend,1958,193.04,83.91452,University of California,SG,22.0,7.7,NYK,East
Pat Frink,1969,193.04,88.45044,University of Colorado,SG,23.0,7.9,CIN,East
Jim Fritsche,1954,203.2,95.25431999999999,Hamline University,PF,22.0,7.8,TOT,N/A
Channing Frye,2006,210.82,115.66596,University of Arizona,C,22.0,18.1,NYK,East
Bernie Fryer,1974,190.5,83.91452,Brigham Young University,SG,24.0,13.2,POR,West
